Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,116.000000,117.900002,115.500000,117.599998,117.599998,4070369
2016-01-04,117.000000,117.000000,112.500000,112.800003,112.800003,6341172
2016-01-05,113.000000,113.349998,110.199997,110.599998,110.599998,7271156
2016-01-06,110.949997,111.800003,109.300003,109.599998,109.599998,5910731
2016-01-07,108.099998,108.449997,104.500000,105.050003,105.050003,7497260
2016-01-08,106.000000,106.750000,104.900002,105.099998,105.099998,3802305
2016-01-11,103.000000,104.250000,101.699997,102.900002,102.900002,5427630
2016-01-12,103.000000,103.500000,99.250000,99.650002,99.650002,5896423
2016-01-13,100.800003,101.199997,95.599998,98.000000,98.000000,8600712
2016-01-14,96.000000,98.300003,94.199997,97.800003,97.800003,6363630
2016-01-15,98.800003,98.800003,91.250000,92.199997,92.199997,7222691
2016-01-18,93.000000,94.199997,88.800003,90.849998,90.849998,9931003
2016-01-19,91.300003,93.400002,91.000000,92.449997,92.449997,6686327
2016-01-20,89.949997,90.500000,86.500000,87.250000,87.250000,8017246
2016-01-21,88.650002,90.349998,87.349998,88.599998,88.599998,11589718
2016-01-22,89.900002,93.000000,89.199997,92.500000,92.500000,11244721
2016-01-25,94.000000,94.250000,91.599998,91.849998,91.849998,5318999
2016-01-27,92.300003,94.599998,90.550003,93.750000,93.750000,6478152
2016-01-28,93.900002,93.949997,91.099998,91.400002,91.400002,7632697
2016-01-29,91.199997,92.000000,88.099998,91.300003,91.300003,7763785
2016-02-01,91.800003,91.800003,89.449997,90.050003,90.050003,5232221
2016-02-02,90.000000,93.000000,89.050003,89.500000,89.500000,9705728
2016-02-03,88.150002,90.000000,87.099998,89.250000,89.250000,5636876
2016-02-04,90.800003,91.599998,89.199997,90.900002,90.900002,5823104
2016-02-05,91.349998,95.500000,90.599998,94.699997,94.699997,6770437
2016-02-08,95.150002,97.800003,93.349998,94.300003,94.300003,7567138
2016-02-09,92.000000,94.949997,87.199997,87.750000,87.750000,30890669
2016-02-10,86.300003,86.650002,79.199997,79.949997,79.949997,26606824
2016-02-11,79.000000,80.500000,76.099998,77.050003,77.050003,16421708
2016-02-12,77.099998,77.150002,72.500000,73.650002,73.650002,12215510
2016-02-15,76.000000,79.000000,75.050003,76.500000,76.500000,14695012
2016-02-16,77.400002,78.000000,72.150002,72.500000,72.500000,10568003
2016-02-17,72.599998,73.199997,69.300003,72.650002,72.650002,12451921
2016-02-18,73.949997,74.900002,71.349998,72.449997,72.449997,7903275
2016-02-19,72.449997,76.800003,71.849998,76.150002,76.150002,16318164
2016-02-22,76.500000,77.800003,75.050003,75.550003,75.550003,7213267
2016-02-23,74.199997,74.900002,72.400002,72.699997,72.699997,7656415
2016-02-24,70.699997,73.650002,69.250000,72.199997,72.199997,13589385
2016-02-25,72.250000,73.199997,71.099998,71.750000,71.750000,5975910
2016-02-26,72.900002,73.349998,71.550003,72.500000,72.500000,7290229
